Aaron Paquette
Bernice, Rubens
J,. Bernlef
Bertolt, Brecht
Bertrice, Small
Beryl, Bainbridge
Betina, Krahn
Blaga, Dimitrova
Boudewijn, Büch
Boy, Lornsen
Bram, Stoker
Brand, Whitlock
Breyten, Breytenbach
Burkhard, Driest
A,. S. Byatt
Lord, Byron
Camille, Flammarion
Candia, McWilliam
Carlo, Goldoni
Carmen, Callil
Carola, Dunn
Caroline, Blackwood
Carry, Slee
Caryl, Phillips
Cass, Pennant
Catherine, Marshall
Cato, the Elder
Catullus,
Charles, Baudelaire
Charles, Bukowski
Charles, Dickens
Charles, Eastman
Charles, Perrault
Charlotte, Brontë
Chemmanam, Chacko
Cheris, F. Hodges
Cheyenne, McCray
Chimamanda, Ngozi Adichie
Chinua, Achebe
Chrétien, de Troyes
Christopher, Hope
Christopher, Marlowe
Christopher, Paolini
Clare, Morrall
Claribel, Alegría
C,. S. Lewis
Codrin, Ţapu
Colm, Tóibín
Connie, Palmen
Constantijn, Huygens
Cor, Bruijn
Cormac, McCarthy
Corneel, van Kuyck
C,. Buddingh'
Cvetka, Lipuš
Cvijeta, Zuzorić
Cynthia, Leitich Smith
Damon, Galgut
Chief, Dan George
Danai, Gurira
Daniel, Defoe
Dante, Alighieri
Daphne, Deckers
D,'Arcy McNickle
Daša, Drndić
David, Baddiel
D,. H. Lawrence
David, Malouf
David, Seidler
David, Storey
David, Treuer
Debra, Magpie Earling
Delphine, Dryden
Demetra, Kenneth Brown
Denis, Diderot
D,. J. Enright
Derek, Robinson
Derviš, Sušić
Derviş, Zaim
Diana, Wynne Jones
Diane, Glancy
Dick, Bruna
Dick, Laan
Diogenes, Laertius
Dixie, Browning
Donita, K. Paul
Douglas, Adams
Dražen, Prćić
Drew, Hayden Taylor
Duane, Niatum
Dubravka, Ugrešić
Duke, Redbird
Dylan, Thomas
Dyzma, Bończa-Tomaszewski
Eckhart, Tolle
Eddy, C. Bertin
Edgar, Rice Burroughs
Edgar, Allan Poe
E,. Nesbit
Edith, Wharton
Edmund, Spenser
Edna, Ferber
Edna, Healey
Eduard, Douwes Dekker "Multatuli"
Eduard, Uspensky
Edward, Eager
E,. M. Forster
Ela, Peroci
Elizabeth, Bowen
Elizabeth, Mavor
Elizabeth, Taylor
Elsie, B. Washington
Elswyth, Thane
E,. B. White
Emanuil, A. Vidinski
Emerenz, Meier
Emil, Cioran
Émile, Zola
Emily, Brontë
Emily, Dickinson
E,. Pauline Johnson
Emyr, Humphreys
Enis, Batur
Enn, Nõu
Enn, Vetemaa
Eric, Gansworth
Erica, Wagner
Erich, Maria Remarque
Ernest, Hemingway
Etgar, Keret
Etienne, Leroux
Eugen, Kumičić
Eugène, Ionesco
Euripides,
Ezra, Pound
Fan, Noli
Farley, Mowat
Fay, Weldon
Federico, García Lorca
Felix, Timmermans
F,. Bordewijk
Ferdo, Kozak
Ferdowsi,
Flora, Thompson
Florjan, Lipuš
Frances, Burney
Francesco, Petrarca
Francine, Rivers
F,. Scott Fitzgerald
François, Rabelais
Frank, Herbert
Frank, Kermode
Franz, Kafka
Friedo, Lampe
Friedrich, Schiller
Du, Fu
Fyodor, Dostoyevsky
Gabriel, García Márquez
Gaja, Grzegorzewska
Galaktion, Tabidze
Gena, Showalter
Geoffrey, of Monmouth
Geoffrey, Chaucer
George, Eliot
George, MacDonald
George, R. R. Martin
George, Orwell
George, Sand
George, Bernard Shaw
Gerald, Vizenor
Gerard, Reve
Gerard, Woodward
Gerbrand, Adriaenszoon Bredero
Germaine, de Staël
Germaine, Greer
Gerri, Russell
Gerrit, Komrij
Giacomo, Casanova
Giovanni, Boccaccio
Goderdzi, Chokheli
Godfried, Bomans
Goran, Tribuson
Graham, Greene
Graham, Swift
Guillermo, Arriaga
Gülten, Akın
Gustave, Flaubert
Guus, Kuijer
Gwyn, Cready
Gyles, Brandreth
Halide, Edip Adıvar
Halide, Nusret Zorlutuna
Hallie, Erminie Rives
Hanoch, Levin
Hans, Christian Andersen
Harold, Courlander
Harper, Lee
Harriet, Beecher Stowe
Harry, Mulisch
Haunani,-Kay Trask
Hedd, Wyn
Heiki, Vilep
Heinrich, Heine
Heleen, van Royen
Hella, Haasse
Hendrik, van Veldeke
Henrik, Ibsen
Henry, James
Henry, Wadsworth Longfellow
H,. G. Wells
Herman, Melville
Hermann, Hesse
Hesiod,
Hilary, Mantel
Hisham, Matar
Hoimar, von Ditfurth
Homer,
Honoré, de Balzac
Horace,
Hovik, Vardoumian
H,. P. Lovecraft
Hrvoje, Hitrec
Hugo, Claus
Hüseyin, Rahmi Gürpınar
Ian, Fleming
Ian, McEwan
Iben, Sandemose
Ida, Tarbell
Ida, Vitale
Idris, Davies
Igor, Štiks
Ikbal, Ali Shah
Imme, Dros
Ingrid, Jonker
Inoslav, Bešker
Ion, Trewin
Irena, Vrkljan
Iris, Murdoch
Isaac, Asimov
Ivan, Aralica
Ivan, Gundulić
Ivan, Kušan
Ivan, Slamnig
Ivan, Turgenev
Ivana, Brlić-Mažuranić
Ivana, Šojat
Ivica, Đikić
Ivo, Brešan
Jack, Kerouac
Jack, Ketchum
Jack, London
Jackie, Collins
Jacob, Cats
Jacob, Grimm
Jacob, van Maerlant
Jacqueline, Wilson
Jacqui, Jacoby
Jagoda, Truhelka
Jalal, ad-Din Muhammad Rumi
J,. M. Barrie
James, Fenimore Cooper
J,. G. Farrell
James, Joyce
James, Kelman
James, Patterson
J,. Dalton Trumbo
James, Welch
Jamiluddin, Aali
Jan, Terlouw
Jan, Vos
Jan, Wolkers
Jancis, Robinson
Jane, Austen
Jane, Gardam
Janelle, Taylor
Janet, Campbell Hale
Janko, Leskovar
Janko, Polić Kamov
Jappe, Nilssen
Jean, Cocteau
Jean, de La Fontaine
Jean, Baptiste Poquelin "Molière"
Jean, Racine
Jean,-Paul Sartre
Jeaniene, Frost
Jef, Nys
Jeffery, Deaver
Jennifer, Johnston
J,. D. Salinger
Jessica, Durlacher
Jill, Paton Walsh
J,. K. Rowling
Johann, Wolfgang von Goethe
Johann, Hari
John, Arden
John, Banville
John, Berger
John, Fuller
John, Galsworthy
John, Grisham
John, Keats
John, Joseph Mathews
John, McGahern
John, Milton
John, Mohawk
John, Milton Oskison
John, Rollin Ridge
John, Ruskin
John, Steinbeck
J,. R. R. Tolkien
John, Trudell
John, Updike
Jonathan, Safran Foer
Jonathan, Swift
Joost, van den Vondel
Joost, Zwagerman
Joseph, Boyden
Joseph, Bruchac
Joseph, Conrad
Joseph, Heller
Josephine, Hart
Josh, Malerman
Josip, Kozarac
Jovica, Tasevski-Eternijan
Joy, Harjo
Jude, Deveraux
Jules, Deelder
Jules, Verne
Julia, O'Faolain
Julian, Barnes
Julian, Rathbone
Julijana, Matanović
Jurica, Pavičić
Juš, Kozak
Justin, Cartwright
Juvenal,
Kahlil, Gibran
Kaie, Kellough
Karel, Glastra van Loon
Kate, Grenville
Kate, Saunders
Kate, Summerscale
Katherine, Paterson
Kathy, Reichs
Kazuo, Ishiguro
Kees, Momma
Kees, van Kooten
Kenneth, Grahame
Keri, Hulme
Kevin, Henkes
Kevin, Killian
Kevin, Loring
Kingsley, Amis
Kiran, Desai
Kjartan, Fløgstad
Konstantine, Gamsakhurdia
Korney, Chukovsky
Kristina, Lugn
Kurt, Vonnegut
Lada, Žigo
Lado, Asatiani
L,. Ron Hubbard
LaVyrle, Spencer
Lawrence, Durrell
Layli, Long Soldier
Leanne, Banks
LeAnne, Howe
Lee, Maracle
Lela, Cole Kitson
Lemony, Snicket
Leo, Tolstoy
Leonard, Crow Dog
Leonida, Lari
Leonie, Ossowski
Leslie, Marmon Silko
Lewis, Carroll
Lilith, Saintcrow
Linda, LeGarde Grover
Linda, K. Hogan
Linnea, Sinclair
Lisa, Charleyboy
Louis, Couperus
Louisa, May Alcott
Louise, Erdrich
Louwrens, Penning
Lucian, of Samosata
Lucy, Maud Montgomery
Ludovic, Halévy
Luigi, Pulci
Lutfi, Lepaja
